county,precinct,registered_voters,ballots_cast,voter_turnout_percent
Owen County,A101 - NEW LIBERTY INFORMATION,411,124,30.17%
Owen County,A103 - POPLAR GROVE INFORMATION,680,227,33.38%
Owen County,A104 - JONESVILLE INFORMATION,246,93,37.8%
Owen County,A105 - NORTH OWENTON INFORMATION,854,349,40.87%
Owen County,B102 - SOUTH OWENTON INFORMATION,"1,039",431,41.48%
Owen County,B103 - OWENTON INC INFORMATION,"1,033",284,27.49%
Owen County,C101 - NEW COLUMBUS INFORMATION,828,226,27.29%
Owen County,C103 - HESLER INFORMATION,586,174,29.69%
Owen County,C104 - LUSBY'S MILL INFORMATION,663,218,32.88%
Owen County,D101 - MONTEREY INFORMATION,757,272,35.93%
Owen County,D102 - GRATZ INFORMATION,656,212,32.32%
Owen County,D103 - WHEATLEY INFORMATION,578,130,22.49%
Pendleton County,A101 - GARDNERSVILLE BAPTIST CHURCH INFORMATION,640,145,22.66%
Pendleton County,A102 - BUTLER COMMUNITY CENTER INFORMATION,"1,070",288,26.92%
Pendleton County,A103 - PLEASANT RIDGE BAPTIST INFORMATION,828,212,25.6%
Pendleton County,B101 - FLOUR CREEK CHRISTIAN INFORMATION,"1,055",420,39.81%
Pendleton County,B102 - N PENDLETON FIRE HOUSE INFORMATION,"1,053",352,33.43%
Pendleton County,B103 - KINCAID MULTI-PURPOSE BLD INFORMATION,865,288,33.29%
Pendleton County,C101 - SHORT CREEK BAPTIST CH. INFORMATION,934,242,25.91%
Pendleton County,C102 - COURTHOUSE COMMUNITY ROOM INFORMATION,"1,042",320,30.71%
Pendleton County,C103 - FLOYD WILLS GARAGE INFORMATION,629,162,25.76%
Pendleton County,D101 - PENDLETON COUNTY LIBRARY INFORMATION,"1,201",414,34.47%
Pendleton County,D102 - BLANKET CREEK CHURCH INFORMATION,698,244,34.96%
Pendleton County,D103 - OAKLAND CHRISTIAN CHURCH INFORMATION,871,247,28.36%
Robertson County,A101 - MOUNT OLIVET INFORMATION,352,143,40.63%
Robertson County,B101 - PINHOOK INFORMATION,316,112,35.44%
Robertson County,C101 - KENTONTOWN INFORMATION,345,142,41.16%
Robertson County,D101 - BURIKA INFORMATION,380,113,29.74%
Robertson County,E101 - MOUNT OLIVET INFORMATION,348,121,34.77%
Shelby County,A101 - WEST FINCHVILLE INFORMATION,"1,424",503,35.32%
Shelby County,A102 - SOUTH SHELBY INFORMATION,"1,416",237,16.74%
Shelby County,A103 - CHARLESTON INFORMATION,736,259,35.19%
Shelby County,A104 - EAST FINCHVILLE INFORMATION,817,296,36.23%
Shelby County,A105 - ADAMS STATION INFORMATION,"1,805",501,27.76%
Shelby County,B101 - SOUTHVILLE INFORMATION,"1,241",438,35.29%
Shelby County,B102 - WADDY INFORMATION,"1,192",411,34.48%
Shelby County,B103 - ROCKBRIDGE INFORMATION,460,194,42.17%
Shelby County,B104 - WEISSINGER INFORMATION,"1,607",485,30.18%
Shelby County,B105 - HOOPER STATION INFORMATION,"1,236",389,31.47%
Shelby County,C101 - NORTH EAST SHELBY INFORMATION,"1,231",481,39.07%
Shelby County,C102 - CLAYVILLAGE INFORMATION,740,292,39.46%
Shelby County,C103 - EAST SHELBY INFORMATION,937,250,26.68%
Shelby County,C104 - GUIST CREEK INFORMATION,"1,134",446,39.33%
Shelby County,C105 - OSPREY COVE INFORMATION,"1,610",340,21.12%
Shelby County,D101 - EAST BAGDAD INFORMATION,"1,076",402,37.36%
